"","label","spotify_id","title","artist","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo"
118,"somber","0jdeV5dSB3kUBRqe1xQJbh","True","Ryan Cabrera",6,1,0.45899999999999996,0.598,0.4,0.0,0.151,-10.054,0.0241,0.369,96.93799999999999
119,"upbeat","1gaFzwbmybYUZCnX1qTNRw","Холодок","Мэвл",0,1,0.23399999999999999,0.88,0.6629999999999999,4.6700000000000003e-05,0.111,-8.135,0.20800000000000002,0.804,140.15
120,"excited","3kb72STxc2959ZqsTwu52i","Ain't No Rest for the Wicked","Cage The Elephant",0,1,0.0438,0.634,0.8490000000000001,0.0,0.363,-7.075,0.105,0.919,156.004
121,"somber","0LiLU0WMDjpqSnixcH4uDm","Flow","Crooked Colours",6,0,0.161,0.529,0.623,0.524,0.11699999999999999,-8.052999999999999,0.0484,0.242,118.012
122,"somber","0xOkh1HVOkNL9pLbNryn58","Temporary Love","Ben Platt",0,0,0.506,0.634,0.505,1.8000000000000001e-06,0.11599999999999999,-7.752999999999999,0.0341,0.136,89.045
123,"serious","1kFZhnBIDK6ad2BCvPz44i","Hell in My Mind","Poolshake",11,1,0.0165,0.674,0.6940000000000001,0.0,0.0729,-10.151,0.0646,0.435,101.978
124,"sentimental","74I76sDq0rPJV3FP4fq44d","Overused (feat. gnash)","Clara Mae",0,1,0.647,0.503,0.525,0.0,0.10400000000000001,-7.79,0.134,0.6809999999999999,115.6
125,"somber","0CTNLJMN9dMG4cl5qgsZSv","Highwomen","The Highwomen",8,0,0.77,0.5539999999999999,0.47,2.6e-06,0.106,-6.604,0.0548,0.34600000000000003,95.598
126,"sensual","7MapZTlRqFfUteNcghsTwf","Keep Your Head Up","Andy Grammer",7,1,0.044000000000000004,0.6659999999999999,0.78,0.0,0.128,-5.1770000000000005,0.0404,0.795,90.00399999999999
127,"serious","7toata3kAxgvAPer5XCwHE","The Rope (feat. POLIÇA) - Le Youth Remix","Lane 8",2,1,0.0037,0.565,0.8240000000000001,0.382,0.44,-7.667999999999999,0.0308,0.33,125.03
128,"somber","2q0UHOP7ePGLcqjwF9wBSV","Eyes on You","Mosaic MSC",5,1,0.705,0.28300000000000003,0.24600000000000002,4.4200000000000004e-05,0.111,-10.997,0.0367,0.078,127.56700000000001
129,"serious","6uFn47ACjqYkc0jADwEdj1","Pop Out (feat. Lil Tjay)","Polo G",1,1,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,0.261,168.112
130,"upbeat","76Xv0phxmn6MyCxY3K00Wa","Eso Que Me Das","Juan Pablo Vega",9,1,0.0602,0.733,0.688,0.000154,0.289,-7.4639999999999995,0.0682,0.828,110.01
131,"sensual","0s5DNDV6LAKn2u2Ufa3VjQ","Desconocidos","Mau y Ricky",7,1,0.146,0.7090000000000001,0.7709999999999999,3.29e-06,0.249,-4.598,0.166,0.7090000000000001,174.00599999999997
132,"somber","1H56ffyFrFcvMEWUg3WFbM","Love Brought Weight","Old Sea Brigade",7,1,0.6990000000000001,0.36700000000000005,0.326,0.358,0.0759,-15.605,0.0344,0.064,116.65899999999999
133,"upbeat","6v4gV9s0pnwKbmF1yk5knO","Papa's Got A Brand New Bag","James Brown",4,1,0.493,0.746,0.7020000000000001,0.0398,0.0964,-8.099,0.0766,0.889,129.434
134,"peaceful","3Cy5Dua2zVvH8YvJ5ORILo","2much","Petal Supply",0,1,0.595,0.47200000000000003,0.478,0.0229,0.0677,-4.681,0.0491,0.912,139.909
135,"sensual","3IViGV8G5s19WDP063XZt6","灯火","Vaundy",4,1,0.0414,0.627,0.67,0.00234,0.0818,-6.619,0.0368,0.537,110.00299999999999
136,"aggressive","4gH3bjEbVBaWOJVikk7JPv","Why You Gotta Do It","Willie J Healey",9,0,0.555,0.64,0.845,0.000185,0.105,-5.16,0.0428,0.32,112.13600000000001
137,"serious","1S9G71bVaykxaRLKIc9GNo","Body is a Temple","Soul Push",7,1,0.132,0.746,0.755,4.270000000000001e-05,0.109,-6.027,0.0553,0.271,100.009
138,"sentimental","3MsTJ3uwQAWBAHkh0qQ4Rq","next 2 me","Armaan Malik",2,1,0.21899999999999997,0.725,0.44799999999999995,8.63e-06,0.121,-8.761000000000001,0.0828,0.502,95.96700000000001
139,"somber","2pgjVwTlbElbGf99pjNyuo","Dream About You","Charlotte Sands",4,1,0.00233,0.696,0.5379999999999999,2.01e-06,0.0763,-7.1339999999999995,0.0365,0.19699999999999998,95.992
140,"somber","5BczxY3kkmEWeQwqYpQzjP","Emotion","Mia Rodriguez",9,1,0.077,0.579,0.617,0.000547,0.134,-6.297000000000001,0.0527,0.392,170.145
